loan_id,charge_off_month,charge_off_balance,grade
L1644,2023-07-01,2885.27,E
L1030,2023-09-01,3830.63,G
L1306,2024-01-01,11441.439999999999,G
L2045,2024-01-01,14500.350000000002,F
L1082,2024-02-01,7769.759999999997,B
L1221,2024-03-01,4136.780000000001,F
L1074,2024-05-01,13918.439999999999,D
L1222,2024-05-01,24516.119999999995,A
L2008,2024-05-01,25311.60000000001,B
L1112,2024-06-01,15002.839999999997,G
L1556,2024-06-01,7967.459999999999,E
L1797,2024-06-01,6267.28,A
L1817,2024-06-01,19913.079999999987,D
L1485,2024-07-01,25856.76,G
L1725,2024-07-01,24641.05000000001,A
L1748,2024-07-01,11196.300000000001,C
L2120,2024-07-01,24372.20000000001,C
L1408,2024-08-01,8578.419999999998,G
L1521,2024-08-01,23449.65,B
L1787,2024-09-01,33180.64,E
L1997,2024-09-01,12083.0,E
L1305,2024-10-01,14414.500000000007,G
L1376,2024-10-01,24516.119999999995,A
L1555,2024-10-01,1164.3199999999997,E
L2141,2024-10-01,24443.259999999995,G
L2178,2024-10-01,7394.919999999998,B
L1295,2024-11-01,2891.1399999999976,B
L1571,2024-11-01,1676.8400000000001,F
L2095,2024-11-01,7126.140000000001,G
L1721,2024-12-01,25396.68,E
L1395,2025-01-01,5603.7199999999975,G
L1894,2025-01-01,8314.050000000007,C
L1071,2025-02-01,13500.099999999995,G
L1198,2025-02-01,12623.240000000005,F
L1424,2025-02-01,2941.9699999999975,G
L1463,2025-02-01,6464.6,E
L1671,2025-02-01,2384.0999999999985,F
L1732,2025-02-01,8919.059999999978,G
L1049,2025-03-01,1515.2600000000002,F
L1146,2025-03-01,2260.3200000000006,A
L2062,2025-03-01,31411.40000000001,C
L1686,2025-04-01,17163.48000000001,A
L2093,2025-04-01,1309.47,G
L2122,2025-04-01,29551.26,A
L2223,2025-04-01,26530.44000000001,B
L1488,2025-05-01,15668.080000000002,A
L1658,2025-05-01,693.5899999999992,A
L1681,2025-05-01,14854.110000000008,G
L1703,2025-05-01,17570.249999999978,C
L1147,2025-06-01,7891.480000000003,A
L1347,2025-06-01,11646.779999999999,C
L1392,2025-06-01,7597.319999999993,F
L1840,2025-06-01,16575.840000000026,A
L1885,2025-06-01,7898.31999999999,E
L1978,2025-06-01,2882.8999999999996,G
L1626,2025-07-01,22850.40000000001,E
L1910,2025-07-01,16626.399999999994,D
L1192,2025-08-01,8233.899999999994,C
L1374,2025-08-01,9568.880000000005,E
L1665,2025-08-01,30207.359999999997,A
L2172,2025-08-01,5021.199999999993,D
L2000,2025-09-01,7274.240000000001,D
L2098,2025-09-01,9528.229999999989,B
L1039,2025-10-01,7834.850000000009,F
L1262,2025-10-01,6971.70000000001,A
L1664,2025-10-01,269.7199999999982,B
L1913,2025-10-01,4891.499999999996,A
L1967,2025-10-01,470.39999999999964,E
L2210,2025-10-01,15972.279999999986,F
L1062,2025-11-01,2374.0000000000064,G
L1405,2025-11-01,4192.799999999996,G
L1666,2025-11-01,5161.0,A
L1414,2025-12-01,2233.999999999999,E
L1651,2025-12-01,2549.640000000003,C
L1938,2025-12-01,7870.360000000007,G
L1951,2025-12-01,9815.550000000014,A
L1182,2026-01-01,1897.6699999999882,B
L1378,2026-01-01,5708.170000000009,D
L1428,2026-01-01,5061.040000000004,A
L1537,2026-01-01,9181.890000000001,F
L1381,2026-02-01,21336.25,A
L1404,2026-02-01,9591.960000000005,G
L1805,2026-02-01,14677.360000000017,A
L1799,2026-03-01,4818.529999999995,B
L2099,2026-03-01,1177.3000000000116,B
L1429,2026-04-01,8744.519999999986,D
L1433,2026-04-01,10391.60000000002,A
L1452,2026-04-01,10180.530000000002,F
L1775,2026-04-01,5168.650000000008,F
L1815,2026-04-01,5665.819999999992,C
L2012,2026-04-01,3819.9200000000087,F
L1177,2026-05-01,2636.569999999998,C
L1320,2026-05-01,8538.71999999999,E
L1476,2026-05-01,3837.9199999999983,C
L2220,2026-06-01,3959.0399999999863,B
L2201,2026-07-01,3333.12,B
L1308,2026-08-01,2308.9299999999994,C
L1609,2026-08-01,3150.119999999993,D
L1793,2026-08-01,2257.919999999992,A
L1297,2026-09-01,7936.2399999999925,B
L1518,2026-09-01,6462.960000000018,A
L1792,2026-09-01,563.7799999999963,D
L1618,2026-10-01,4920.0,C
L1230,2026-11-01,702.2000000000011,D
L1383,2026-11-01,6319.609999999993,D
L1811,2026-11-01,3878.629999999989,G
L2047,2026-12-01,4203.1599999999935,G
L1846,2027-01-01,2799.5999999999935,B
L2162,2027-01-01,5687.099999999984,F
L1296,2027-02-01,6466.749999999973,B
L1759,2027-05-01,782.8900000000017,E
L2069,2027-06-01,379.380000000016,C
L1201,2027-07-01,3099.199999999989,D
L1018,2027-08-01,5892.249999999991,A
L1662,2027-11-01,2736.9899999999925,G
