state,grade_balance,exposure_share
Oklahoma,166895.50000000003,0.01621768607671428
New Mexico,156522.06999999992,0.015209671892516551
Alabama,126250.20999999998,0.01226807357238064
Minnesota,207737.22999999995,0.020186387185910887
Arkansas,91117.66,0.008854148889123946
Iowa,129792.18000000004,0.012612256354739306
Illinois,196651.11000000004,0.019109118991329357
Texas,150717.39999999997,0.01464561644561163
Florida,265861.51,0.025834480312897794
Michigan,165215.15000000002,0.01605440193304949
Delaware,159991.52,0.015546807710791205
Wyoming,240181.06,0.023339041691672193
Mississippi,184265.14,0.01790554086480347
Alaska,292572.2199999998,0.028430032078320764
New York,235118.11000000004,0.022847061178584063
South Carolina,147659.77000000002,0.014348498287969615
California,166394.15000000002,0.016168968544398785
Maryland,255723.13999999996,0.024849307543173153
Wisconsin,180689.91999999993,0.017558127090224813
Kansas,247329.72999999992,0.024033697245153404
Colorado,133996.72,0.013020822851840712
Tennessee,125949.35999999999,0.01223883916608341
Montana,232955.37000000002,0.022636901896964406
Maine,208445.20000000007,0.02025518254115853
Oregon,234457.6899999999,0.02278288638514274
Utah,327250.54000000004,0.03179981800680803
Louisiana,151611.03,0.014732452884034084
South Dakota,151987.39000000004,0.014769024800783384
Idaho,300071.4100000001,0.02915874860602606
Nevada,211333.89,0.020535884343142068
North Dakota,215513.33000000007,0.020942011805515012
Rhode Island,222860.73000000004,0.02165597848933842
Kentucky,237018.28,0.023031705824799145
Georgia,254626.73999999996,0.024742767396707194
Hawaii,264397.69,0.025692236973605745
Virginia,194001.11,0.01885161134071389
North Carolina,145902.23999999996,0.014177714355446517
West Virginia,238126.30999999988,0.023139376089746852
Missouri,352992.13,0.03430119776681047
Indiana,302551.58,0.02939975341728151
New Jersey,229181.88999999998,0.022270222663211787
Washington,183792.03,0.017859567489489248
Connecticut,278233.4799999999,0.02703669802164683
Ohio,164972.38999999998,0.016030812288799143
Vermont,139094.71,0.01351620829627887
New Hampshire,179398.6500000001,0.017432650900032293
Nebraska,264419.0400000001,0.02569431161071543
Massachusetts,203661.65000000008,0.01979035207998812
Pennsylvania,173518.86999999994,0.016861296811754623
Arizona,201950.14999999988,0.01962404100676985
