month,status,loan_count,total_balance
2024-04-01,current,757,11464352.0
2024-08-01,current,946,13152399.719999999
2025-08-01,current,1090,8539353.2
2026-09-01,current,517,1535500.36
2023-03-01,current,103,2154563.3899999997
2025-02-01,60 days late,9,124902.05999999997
2027-06-01,90 days late,1,5892.249999999991
2025-06-01,30 days late,16,136375.08999999997
2025-09-01,120 days late,8,53212.919999999984
2025-11-01,120 days late,7,34197.35000000002
2025-04-01,60 days late,5,87739.48
2024-11-01,60 days late,6,46833.06999999997
2024-12-01,90 days late,6,46833.06999999997
2025-01-01,120 days late,8,60750.83999999998
2023-11-01,60 days late,2,35609.43999999999
2026-10-01,30 days late,3,8415.109999999964
2026-02-01,60 days late,5,22548.17999999999
2026-05-01,120 days late,4,18972.24999999997
2025-12-01,120 days late,8,44318.32000000002
2025-07-01,120 days late,6,92508.14
2026-11-01,120 days late,4,15103.599999999977
2025-05-01,30 days late,15,160873.71999999994
2027-02-01,120 days late,1,6466.749999999973
2026-08-01,120 days late,6,22679.949999999986
2026-01-01,60 days late,8,49572.33000000001
2024-01-01,60 days late,1,10912.159999999998
2024-06-01,60 days late,4,70590.29000000001
2026-12-01,120 days late,3,12689.859999999971
2023-08-01,60 days late,1,11253.46
2023-06-01,current,230,4381799.300000001
2023-09-01,current,399,7090449.189999992
2024-03-01,current,714,11022374.02
2024-05-01,current,811,12016644.270000005
2025-03-01,current,1149,12398829.790000018
2025-10-01,current,1041,7073495.279999997
2027-01-01,current,313,602669.7899999998
2027-03-01,current,229,304233.49999999994
2027-04-01,current,178,202336.67000000016
2027-08-01,current,54,1741.6500000000829
2023-08-01,120 days late,1,3830.63
2025-07-01,60 days late,10,73104.26
2025-02-01,120 days late,9,82020.04999999999
2026-12-01,60 days late,1,757.8400000000165
2024-12-01,30 days late,15,269004.34
2024-01-01,120 days late,3,33711.55
2024-06-01,120 days late,8,135216.97
2025-09-01,60 days late,6,28705.050000000025
2026-01-01,120 days late,7,67454.34000000003
2025-06-01,90 days late,4,53031.34
2025-01-01,60 days late,7,131509.62999999998
2026-08-01,60 days late,5,19174.939999999995
2025-11-01,60 days late,5,54467.90000000001
2024-11-01,120 days late,4,37090.799999999996
2026-11-01,60 days late,2,7904.789999999968
2023-10-01,60 days late,2,25941.79
2026-05-01,60 days late,4,22015.849999999988
2027-02-01,60 days late,2,2349.589999999993
2026-02-01,120 days late,5,51601.40000000003
2025-12-01,60 days late,3,10009.430000000004
2025-04-01,120 days late,8,123340.68000000002
2025-05-01,90 days late,2,39476.8
2027-06-01,30 days late,1,1089.0599999999808
2026-10-01,90 days late,1,4203.1599999999935
2023-12-01,current,544,8938092.390000012
2024-10-01,current,1038,13756468.039999997
2026-03-01,current,817,4014650.280000004
2026-04-01,current,761,3498510.400000002
2026-07-01,current,602,2255573.4500000007
2025-01-01,30 days late,16,201119.86999999997
2025-09-01,30 days late,13,83433.77000000002
2027-05-01,current,144,125222.47000000003
2027-07-01,current,77,28874.550000000057
2025-07-01,30 days late,14,94448.12999999996
2023-05-01,30 days late,6,101809.79000000001
2023-02-01,current,64,1297624.0999999999
2024-12-01,60 days late,4,60994.34
2026-11-01,30 days late,2,8175.8400000000165
2023-10-01,30 days late,4,68656.72999999998
2026-05-01,30 days late,11,42293.16000000004
2026-12-01,30 days late,3,6550.8000000000075
2025-04-01,90 days late,7,67899.85
2025-05-01,120 days late,10,103278.67
2025-06-01,120 days late,8,93969.44000000002
2026-08-01,30 days late,5,35700.64
2027-02-01,30 days late,2,3533.520000000006
2024-01-01,90 days late,1,4136.780000000001
2026-10-01,120 days late,4,15820.439999999984
2023-11-01,90 days late,2,25941.79
2025-12-01,30 days late,11,76088.05999999998
2026-02-01,90 days late,8,49572.33000000001
2024-11-01,90 days late,3,21917.770000000004
2025-11-01,30 days late,6,40426.09000000002
2024-06-01,90 days late,2,32028.07
2027-11-01,120 days late,1,2736.9899999999925
2025-02-01,90 days late,4,74554.65000000002
2026-01-01,90 days late,2,5995.830000000007
2023-07-01,current,286,5321857.349999997
2024-02-01,current,653,10343594.459999992
2024-07-01,current,902,12843958.389999991
2024-09-01,current,1006,13850582.560000015
2026-06-01,current,654,2657268.21
2023-04-01,current,147,2959238.8300000005
2024-06-01,30 days late,15,257538.53999999998
2025-09-01,90 days late,5,23801.179999999993
2026-01-01,30 days late,14,79563.75
2025-02-01,30 days late,13,132534.73
2025-04-01,30 days late,15,175705.09999999995
2024-11-01,30 days late,9,135107.99
2025-01-01,90 days late,3,35186.98000000001
2027-09-01,current,31,-5008.8800000000065
2024-01-01,30 days late,10,175054.46
2025-05-01,60 days late,7,88644.21999999997
2025-11-01,90 days late,4,21848.770000000004
2027-06-01,120 days late,2,3478.580000000005
2023-11-01,30 days late,6,81126.85
2026-02-01,30 days late,6,44518.99999999998
2026-12-01,90 days late,1,6466.749999999973
2023-08-01,30 days late,1,22252.44
2025-12-01,90 days late,3,45605.57000000002
2024-12-01,120 days late,3,39314.450000000004
