vintage_quarter,month_on_book,charge_off_count,cumulative_charge_offs,cumulative_charge_off_rate
2023-01-01,6,2,2,0.013605442176870748
2023-01-01,13,1,3,0.02040816326530612
2023-01-01,14,1,4,0.027210884353741496
2023-01-01,15,1,5,0.034013605442176874
2023-01-01,16,1,6,0.04081632653061224
2023-01-01,17,2,8,0.05442176870748299
2023-01-01,21,1,9,0.061224489795918366
2023-01-01,22,1,10,0.06802721088435375
2023-01-01,23,1,11,0.07482993197278912
2023-01-01,26,1,12,0.08163265306122448
2023-01-01,29,1,13,0.08843537414965986
2023-01-01,33,2,15,0.10204081632653061
2023-04-01,7,1,1,0.006896551724137931
2023-04-01,8,1,2,0.013793103448275862
2023-04-01,15,1,3,0.020689655172413793
2023-04-01,17,1,4,0.027586206896551724
2023-04-01,19,1,5,0.034482758620689655
2023-04-01,20,1,6,0.041379310344827586
2023-04-01,21,1,7,0.04827586206896552
2023-04-01,22,1,8,0.05517241379310345
2023-04-01,23,1,9,0.06206896551724138
2023-04-01,28,1,10,0.06896551724137931
2023-04-01,30,1,11,0.07586206896551724
2023-04-01,32,1,12,0.08275862068965517
2023-04-01,34,1,13,0.0896551724137931
2023-07-01,9,1,1,0.006289308176100629
2023-07-01,10,1,2,0.012578616352201259
2023-07-01,11,1,3,0.018867924528301886
2023-07-01,12,2,5,0.031446540880503145
2023-07-01,16,1,6,0.03773584905660377
2023-07-01,17,1,7,0.0440251572327044
2023-07-01,20,1,8,0.050314465408805034
2023-07-01,21,2,10,0.06289308176100629
2023-07-01,24,1,11,0.06918238993710692
2023-07-01,25,2,13,0.08176100628930817
2023-07-01,27,1,14,0.0880503144654088
2023-07-01,28,1,15,0.09433962264150944
2023-07-01,36,1,16,0.10062893081761007
2023-10-01,7,1,1,0.006097560975609756
2023-10-01,8,1,2,0.012195121951219513
2023-10-01,10,1,3,0.018292682926829267
2023-10-01,14,1,4,0.024390243902439025
2023-10-01,15,1,5,0.03048780487804878
2023-10-01,17,1,6,0.036585365853658534
2023-10-01,18,1,7,0.042682926829268296
2023-10-01,24,1,8,0.04878048780487805
2023-10-01,25,1,9,0.054878048780487805
2023-10-01,26,1,10,0.06097560975609756
2023-10-01,28,1,11,0.06707317073170732
2023-10-01,33,1,12,0.07317073170731707
2024-01-01,5,1,1,0.006024096385542169
2024-01-01,6,1,2,0.012048192771084338
2024-01-01,8,1,3,0.018072289156626505
2024-01-01,9,3,6,0.03614457831325301
2024-01-01,14,2,8,0.04819277108433735
2024-01-01,15,1,9,0.05421686746987952
2024-01-01,17,1,10,0.060240963855421686
2024-01-01,18,1,11,0.06626506024096386
2024-01-01,21,1,12,0.07228915662650602
2024-01-01,23,1,13,0.0783132530120482
2024-01-01,24,1,14,0.08433734939759036
2024-01-01,25,1,15,0.09036144578313253
2024-01-01,26,1,16,0.0963855421686747
2024-01-01,27,1,17,0.10240963855421686
2024-01-01,29,1,18,0.10843373493975904
2024-04-01,7,1,1,0.006369426751592357
2024-04-01,9,1,2,0.012738853503184714
2024-04-01,11,2,4,0.025477707006369428
2024-04-01,15,2,6,0.03821656050955414
2024-04-01,17,1,7,0.044585987261146494
2024-04-01,18,1,8,0.050955414012738856
2024-04-01,20,1,9,0.05732484076433121
2024-04-01,22,1,10,0.06369426751592357
2024-04-01,23,1,11,0.07006369426751592
2024-04-01,24,1,12,0.07643312101910828
2024-04-01,26,1,13,0.08280254777070063
2024-04-01,29,1,14,0.08917197452229299
2024-07-01,8,1,1,0.006896551724137931
2024-07-01,17,1,2,0.013793103448275862
2024-07-01,19,2,4,0.027586206896551724
2024-07-01,21,1,5,0.034482758620689655
2024-07-01,24,1,6,0.041379310344827586
2024-07-01,25,1,7,0.04827586206896552
2024-07-01,26,2,9,0.06206896551724138
2024-07-01,28,2,11,0.07586206896551724
2024-07-01,29,1,12,0.08275862068965517
2024-07-01,31,1,13,0.0896551724137931
2024-07-01,32,1,14,0.09655172413793103
2024-07-01,34,1,15,0.10344827586206896
2024-10-01,6,1,1,0.0070921985815602835
2024-10-01,7,1,2,0.014184397163120567
2024-10-01,9,2,4,0.028368794326241134
2024-10-01,16,1,5,0.03546099290780142
2024-10-01,17,1,6,0.0425531914893617
2024-10-01,22,1,7,0.04964539007092199
2024-10-01,23,1,8,0.05673758865248227
2024-10-01,26,1,9,0.06382978723404255
2024-10-01,31,1,10,0.07092198581560284
2024-10-01,33,1,11,0.07801418439716312
2024-10-01,35,1,12,0.0851063829787234
